,,,,,,,,
,DOI: 10.1016/j.yrtph.2021.104964,FORMONONETIN,formoteína,,,7-hydroxy-3-(4-methoxyphenyl)chromen-4-one,485-72-3,COc3ccc(c2coc1cc(O)ccc1c2=O)cc3
,DOI: 10.1016/j.yrtph.2021.104964,BIOCHANIN-A,biochanina,,,"5,7-dihydroxy-3-(4-methoxyphenyl)chromen-4-one",491-80-5,COc3ccc(c2coc1cc(O)cc(O)c1c2=O)cc3
,DOI: 10.1016/j.yrtph.2021.104964,MALTOL,,,,3-hidroxi-2-metil-4H-piran-4-ona,,Cc1occc(=O)c1O
,"DOI: 10.1016/j.yrtph.2021.104964, 
https://doi.org/10.1021/acs.jafc.1c04195,
DOI: 10.1038/s41598-021-96524-z",LINALOOL,linalool,,floral citrus,"2,6-dimetil-2,7-octadien-6-ol",[78-70-6],C=CC(C)(O)CC/C=C(C)/C
,DOI: 10.1016/j.yrtph.2021.104964,1-PHENYLETHYL-ALCOHOL,,,,,,C[C@@H](O)c1ccccc1
,DOI: 10.1016/j.yrtph.2021.104964,PHENYLETHYL-ACETATE,,,,,,CC(=O)OC(C)c1ccccc1
,DOI: 10.1016/j.yrtph.2021.104964,ACETOPHENONE,acetofenona,,,,,CC(=O)c1ccccc1
,DOI: 10.1016/j.yrtph.2021.104964,(Z)-3-HEXENYL-ACETATE,,,,,,CC/C=C\CCOC(C)=O
,DOI: 10.1016/j.yrtph.2021.104964,2-PHENYLETHYL-ALCOHOL,alcohol fenetílico,,,,,OCCc1ccccc1
,DOI: 10.1016/j.yrtph.2021.104964,1-OCTEN-3-OL,,,,,,[H][C@](O)(C=C)CCCCC
,DOI: 10.1016/j.yrtph.2021.104964,LIMONENE,,,,,,C=C(C)[C@H]1C/C=C(C)\CC1
,DOI: 10.1016/j.yrtph.2021.104964,ETHYL-CINNAMATE,etilo cinamato,,,,,CCOC(=O)/C=C/c1ccccc1
,DOI: 10.1016/j.yrtph.2021.104964,GENISTEIN,genistenia,,,,,O=c2c(c1ccc(O)cc1)coc3cc(O)cc(O)c23
,DOI: 10.1016/j.yrtph.2021.104964,BENZYL-ACETATE,acetato de bencilo,,,,,CC(=O)OCc1ccccc1
,DOI: 10.1016/j.yrtph.2021.104964,CINNAMIC-ALCOHOL,alcohol de cinamilo,,,,,OC/C=C/c1ccccc1
,DOI: 10.1016/j.yrtph.2021.104964,3-BUTYLPHTHALIDE,butilftalida,,,,,CCCCC2OC(=O)c1ccccc12
,DOI: 10.1016/j.yrtph.2021.104964,(E)-LINALOL-OXIDE,,,,,,
,"DOI: 10.1016/j.yrtph.2021.104964
10.1038/s41598-022-07840-x",(E)-LINALOOL-OXIDE ,,,,,,
